ID,N6-acetyllysine,Methyllysine,SUMOylation,Hydroxylysine,Ubiquitination,N-linked_glycosylation,Phosphothreonine,Phosphoserine,Hydroxyproline,Phosphotyrosine,Pyrrolidone_carboxylic_acid,Methylarginine,S-palmitoyl_cysteine,O-linked_glycosylation
VFG005469(gb|WP_011284691),0.24421428571428572,0.12260714285714289,0.1172857142857143,0.05314285714285715,0.2914642857142857,0.18452173913043476,0.09960869565217392,0.22566666666666663,0.08614285714285715,0.09953846153846156,0.084,0.12061538461538464,0.2846666666666667,0.09956818181818185
VFG038546(gb|WP_011898936),0.22489999999999996,0.1416,0.0667,0.04989999999999999,0.4025,0.16434999999999994,0.20927586206896553,0.4072,0.10676666666666665,0.29355555555555557,0.13304000000000005,0.11167857142857142,0.0,0.168768115942029
VFG013536(gb|WP_005654344),0.16325,0.20525000000000002,0.10225000000000001,0.05025,0.39749999999999996,0.035500000000000004,0.07125,0.1925,0.338,0.3486666666666667,0.2784,0.064,0.559,0.076625
VFG009537(gb|WP_208856635),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFG005300(gb|WP_001233997),0.3172815533980583,0.14133980582524272,0.12528155339805824,0.06614563106796116,0.31852427184466,0.10999999999999996,0.16183582089552234,0.31259999999999993,0.12384615384615384,0.17314285714285718,0.06348717948717948,0.05177777777777778,0.188,0.1324173228346457
VFG041886(gb|WP_011136133),0.221,0.367,0.051000000000000004,0.05449999999999999,0.33599999999999997,0.03375,0.10085714285714284,0.454,0.034,0.182,0.032,0.03937499999999999,0.532,0.08816666666666666
VFG034099(gb|WP_000623032),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFG014668(gb|NP_252042),0.166,0.048,0.079,0.046,0.569,0.03366666666666667,0.3666666666666667,0.6432,0.13449999999999998,0.177,0.13899999999999998,0.14142105263157895,0.054,0.21176923076923082
VFG016782(gb|WP_005767804),0.2792727272727273,0.15927272727272723,0.18427272727272728,0.06527272727272727,0.2907272727272728,0.14814285714285716,0.12753333333333333,0.2572608695652175,0.09518181818181817,0.091875,0.2454545454545454,0.07314285714285712,0.0,0.18531578947368418
VFG050196(gb|WP_000656566),0.2152666666666666,0.14340000000000003,0.09509999999999999,0.06446666666666666,0.18590000000000004,0.106125,0.06965384615384615,0.07500000000000002,0.069,0.04741379310344827,0.14736363636363636,0.04715789473684212,0.12025,0.06317543859649123
